,ICA_contribution,reconstruction_error,combined_score
BIA-BIA_Activity_Level_num,0.05411233489530717,0.0031874452123165924,0.55081487017271
BIA-BIA_BMC,0.05621310102195487,0.00018314531463832373,0.6162141994982485
BIA-BIA_BMI,0.046340980441592634,0.00232369449649927,0.5315606107024042
BIA-BIA_BMR,0.052000762119367314,0.0008140307070917703,0.4925628417390518
BIA-BIA_DEE,0.057972914489827956,0.015687793984578795,0.31033651736279105
BIA-BIA_ECW,0.04645851378212373,0.008846137469182589,0.3911579075238882
BIA-BIA_FFM,0.05200115169688979,0.0008140575936212644,0.49256311569062816
BIA-BIA_FFMI,0.07676144563481023,0.0005255627991202461,0.6477219299121023
BIA-BIA_FMI,0.06536713538133196,0.004258397415856639,0.5457913868543405
BIA-BIA_Fat,0.05998299448673877,0.011445877053332493,0.4336345633373998
BIA-BIA_Frame_num,0.03916021957553376,0.00033829800668653723,0.5697295477498663
BIA-BIA_ICW,0.058144610839417334,0.009844789628379678,0.3861214377866054
BIA-BIA_LDM,0.05102518719335643,0.02626041666982281,0.13379921211216322
BIA-BIA_LST,0.050897497105344525,0.0008925953138405287,0.49395393216882577
BIA-BIA_SMM,0.05826950943064724,0.021055707849497545,0.22907523903232135
BIA-BIA_TBW,0.05111635746737862,0.0038381519978116087,0.44946906731031516
BIA-Season,0.10080661378784377,4.1564861488687086e-05,0.6425656875161908
Basic_Demos-Age,0.05868760346942174,0.006442997860964715,0.5378658698824694
Basic_Demos-Enroll_Season,0.056986646131740204,0.0002179000563708003,0.6037078880318438
Basic_Demos-Sex,0.01974404344249882,0.0019691113767432555,0.5551658008204735
CGAS-CGAS_Score,0.05167569751111141,7.876947125340302e-05,0.6017131884059129
CGAS-Season,0.10550466602594608,2.314747859496723e-05,0.6341058015937859
FGC-FGC_CU,0.0401906450025207,0.0017070224351809378,0.6020615155139348
FGC-FGC_CU_Zone,0.028025182699840372,0.0030590657913129996,0.5325733441767655
FGC-FGC_GSD,0.026150796136718824,0.01000287409255042,0.4023503507717424
FGC-FGC_GSD_Zone,0.019268071630827856,0.017389031776017746,0.2704554205983533
FGC-FGC_GSND,0.02565424214747118,0.008993539623234563,0.42100729837715467
FGC-FGC_GSND_Zone,0.020543866293798625,0.016095838185438655,0.2881018488325964
FGC-FGC_PU,0.03755053257322287,0.00994753255781879,0.4493703831400536
FGC-FGC_PU_Zone,0.023256552199628862,0.024973036411759093,0.16716843257197642
FGC-FGC_SRL,0.0385466898612845,0.006387228477701111,0.4811135470026495
FGC-FGC_SRL_Zone,0.02594041433396573,0.008698711039732633,0.40959762418213363
FGC-FGC_SRR,0.040411774474198546,0.0070888385952948,0.4694526699902154
FGC-FGC_SRR_Zone,0.02651474208635632,0.007275968840094461,0.43290304600796714
FGC-FGC_TL,0.02877751180148306,0.011588824516662457,0.38454188707942405
FGC-FGC_TL_Zone,0.01897779941978791,0.025453821116732566,0.12502192807810983
FGC-Season,0.10827251484932596,3.3541341926885605e-05,0.6702979229570599
Fitness_Endurance-Season,0.09929806693587177,3.916636895050157e-05,0.6621660977624118
PAQ_A-Season,0.026369570711325944,0.0003062765378652004,0.5878042515945376
PAQ_C-PAQ_C_Total,0.030894439414620195,8.911234226431687e-05,0.5303283625753654
PAQ_C-Season,0.07777827563138813,3.858370115468196e-05,0.620254503200488
PAQ_Combined_Total,0.03099419996654123,8.268182565922316e-05,0.5311414180382439
Physical-BMI,0.051901109525243815,0.008058526276328191,0.4927067293787784
Physical-Diastolic_BP,0.046197214685168395,0.00017164081775431945,0.6066798630106532
Physical-HeartRate,0.05284156301742576,0.00010028952567322503,0.6036777439910364
Physical-Height,0.04369435138169174,0.017995362798085567,0.28723389733028326
Physical-Season,0.11209980125621508,7.436735572051499e-05,0.6858761070230399
Physical-Systolic_BP,0.05410553778731736,8.821887017348523e-05,0.6198047384219614
Physical-Waist_Circumference,0.04394110581986752,0.018328717688863266,0.2544988124136057
Physical-Weight,0.04765829352892055,0.007983828368030476,0.4261578740768227
PreInt_EduHx-Season,0.0828480764432844,0.00011255871798445863,0.6251402234678822
PreInt_EduHx-computerinternet_hoursday,0.03265474073955943,0.00021755768467593694,0.5720135652447578
SDS-SDS_Total_Raw,0.04084265420821841,0.0003263015004392118,0.5204526620519278
SDS-SDS_Total_T,0.040110355059504235,0.00032958859049000565,0.5184408014752342
SDS-Season,0.10562502767386055,1.573494603132865e-05,0.6506915177888554
X_iqr,0.05020476927186383,0.006636889968125527,0.4762131072034109
X_max,0.05866395340853002,3.846821158743645e-05,0.6369930132736514
X_mean,0.05668306706658961,0.007788198203525023,0.4150221648188271
X_median,0.05899520175135873,0.021809758632668857,0.22277879288108815
X_min,0.05833431338292634,8.20066400101498e-05,0.6352288979884578
X_q1,0.03858968086673947,0.008847921523893054,0.3868676259172561
X_q3,0.04593600800945347,0.007487866653411641,0.4200642593744731
X_std,0.057194342071758705,0.015706921053372253,0.3468981245114222
Y_iqr,0.06157715838004256,0.0007811233031927816,0.5884854815879255
Y_max,0.0495005072540193,0.00028238790178436115,0.6085522242575407
Y_mean,0.07401994411407398,0.013776296423596079,0.38175802432513206
Y_median,0.10134936895621569,0.0003086253170095974,0.6303637369676618
Y_min,0.05644570462243316,0.00036204120141736826,0.6019876349314714
Y_q1,0.05510407835278475,0.009962444007925453,0.41609647684715906
Y_q3,0.06349078023201181,0.00880264248094881,0.4753621834897873
Y_std,0.06832130502878553,0.001400379850016445,0.6320460000112127
Z_iqr,0.05787895188954042,0.00812496715841269,0.44423027829286216
Z_max,0.055072917798538255,0.0001966853937431094,0.6329305601274011
Z_mean,0.057185619069050654,0.009325804747267089,0.3784227346730584
Z_median,0.06479489172624212,0.010856819248551437,0.39749341953475126
Z_min,0.15891506966328012,4.4689312831113634e-07,0.5887762831294084
Z_q1,0.048470113968048914,0.005399103519870402,0.4638448797794248
Z_q3,0.05520125863379367,0.005546934710681023,0.4617551766089106
Z_std,0.04887062121940833,0.0021430356269720465,0.5503248318871888
anglez_iqr,0.06009008970950277,0.006435770741157966,0.4750965013032697
anglez_max,0.14191445444796508,9.257504113436617e-06,0.612716629966884
anglez_mean,0.06440731606633507,0.011253135955014678,0.3613065799152409
anglez_median,0.08030217886811561,0.005784381067921018,0.5204203863431285
anglez_min,0.0648073692078388,9.89309291523782e-06,0.5756067466595092
anglez_q1,0.05735904176531846,0.00658429052786239,0.4576063359857555
anglez_q3,0.06654514012560778,0.0058097253118049455,0.4858217509100379
anglez_std,0.04757527855615035,0.0027001238849160775,0.5222868377752496
battery_voltage_iqr,0.09730812936298247,0.0004318802070810486,0.6270488194303058
battery_voltage_max,0.12539590651920718,6.450570269721614e-07,0.5615146436136889
battery_voltage_mean,0.08239777706927742,0.007191158838198642,0.4348173353456163
battery_voltage_median,0.11198968593876764,0.00042619691516392576,0.6655573455080069
battery_voltage_min,0.03534021438721428,0.020491032101413436,0.2236797334890343
battery_voltage_q1,0.09853678882251253,0.0004840971445377613,0.5901100975671714
battery_voltage_q3,0.10115143461604308,0.0008871713157898078,0.6207416559576635
battery_voltage_std,0.05275222063917747,0.010903881295204282,0.42426360891537485
day_1_percentage,0.10473918016010648,7.523336327494802e-06,0.609081825422797
day_2_percentage,0.09592394254162409,4.304990986169582e-06,0.5916659118241021
day_3_percentage,0.07370387754826305,2.569463693934416e-06,0.5903316439780375
day_4_percentage,0.07625037079508354,5.408890400754657e-06,0.5914880436345116
day_5_percentage,0.07519819721535756,1.1530389217494333e-05,0.608209968615375
day_6_percentage,0.07235258670634584,1.82602980409851e-05,0.5994127356243274
day_7_percentage,0.11440615380678856,7.081488397490894e-06,0.6488768952178224
days_after_PCIAT,0.47533457200862317,1.3373163082926536e-08,0.8277386766670026
days_before_PCIAT,0.4753345720086236,1.3373163082879458e-08,0.827738676667003
days_since_PCIAT_mean,0.06086447642110464,1.812202216002755e-05,0.574269628399927
enmo_iqr,0.061213905410432715,0.007060320413024402,0.45732229433326893
