UMAP_1,UMAP_2,UMAP_3
9.565906,-0.2776782,7.7241416
6.52236,1.5974615,6.563853
6.785494,-0.4641372,4.8594093
7.8990073,-1.2811399,7.3215804
5.335237,-0.7611803,5.668602
8.2143135,-0.2556533,5.59336
6.6291866,1.2533468,4.116152
5.054073,1.8830532,3.9326472
5.9284024,-1.1153489,5.8801413
6.642208,-1.0141053,5.450973
8.315532,0.74152404,5.233564
7.319501,-0.5950671,5.157758
6.1298475,0.4896889,7.8591886
12.169077,2.7681394,7.983311
4.231123,3.5056028,5.274275
4.415891,1.738182,4.251387
4.311863,2.3045423,3.4165404
4.182471,-0.45370445,5.2169304
9.214831,-1.2195888,8.454099
7.521163,0.16881724,6.4012527
6.22639,1.308587,8.119957
8.615891,-0.6948986,7.910481
6.952032,-0.059432812,7.249639
9.347429,-1.4848546,8.574605
4.556652,1.4776372,5.089475
7.3164167,-0.6070134,5.5893197
5.9796047,0.9459229,6.857394
4.369943,2.5654147,4.7554154
9.087912,-2.14231,8.444138
7.2136936,-0.632795,5.779629
9.116722,-2.3585243,8.534598
7.6458726,0.6830168,4.152298
5.5384264,0.37454414,3.5887334
6.4120984,-1.2434667,5.7293057
3.7189002,4.184998,5.4033747
5.318976,0.8404467,6.214766
8.106122,-1.3583235,7.3690763
3.2527568,1.4578408,3.789319
6.3547244,1.1140501,8.245053
5.8056602,0.27265477,3.8065255
11.897967,2.4403415,7.753612
6.390767,-0.86040854,4.9858866
4.3577886,2.34775,3.429026
4.7218976,1.5324262,4.2565103
4.5513787,-0.51695645,6.0930014
5.7961683,-1.2586864,5.4340696
5.248711,2.0038564,3.7454298
12.183376,2.7206533,7.9012575
6.1708035,-1.026927,6.3740735
8.184599,0.15052842,5.59155
5.1726403,1.479142,4.222162
5.1504183,0.8949266,5.780506
6.321367,2.0401711,4.112589
9.263528,-1.3709551,8.538425
7.376825,0.22488034,6.1806717
6.779713,1.3040369,8.283471
8.332243,-0.17138858,5.565421
9.114457,-1.7119627,8.057383
8.663533,-1.2644275,8.352155
7.4465523,0.6864816,7.3480563
4.6188602,-0.46509826,6.1966195
8.167385,0.34680432,7.8482265
8.645345,-0.21228762,7.4457955
4.7977085,0.96096075,4.8204594
6.4612117,0.8470737,6.875512
7.546362,0.7951399,7.299033
8.856139,-0.45080638,6.939556
7.8405232,1.0637579,5.067181
5.0712423,-0.46815598,5.90592
8.181487,-0.3164536,5.7971654
7.3530684,0.9203821,7.0922103
9.437934,-2.164031,8.088334
7.6061163,0.32465166,6.563414
7.5026712,0.13142236,5.657914
4.5139694,0.7404469,4.979994
9.310335,-1.5204196,8.348995
5.9430246,0.7855001,5.12983
6.0617566,1.325885,9.404881
9.764411,-0.30717048,7.251909
7.3142447,0.62460387,7.26083
8.582031,-0.20941171,7.9479694
12.140842,2.7172115,7.9343224
11.925039,2.56829,7.998602
9.14432,-0.2701127,6.744045
4.3871064,-0.48607484,5.9409676
6.781146,1.266619,4.019308
9.173661,-2.1471295,8.526921
4.8139086,0.7100822,5.4145656
7.140828,0.5090016,7.137126
7.049033,-0.5845498,4.2613006
6.518994,-0.9404336,6.109333
5.8168974,-1.2130036,5.64745
6.8276854,0.8372071,4.979945
5.0461507,1.153281,5.7415247
4.5189614,0.73944813,4.8682694
7.9139576,0.1405429,4.8398943
8.637533,-0.6787442,8.439658
7.905528,0.5706344,7.1896567
8.442756,0.73768735,5.5390625
5.1880407,-0.24367918,6.6117973
8.111504,0.7702957,5.4268947
4.391283,-0.56739575,5.69728
8.335335,0.49030682,4.949122
6.4059563,2.0212014,4.174194
6.7368383,1.9787215,4.4677253
7.784865,0.829861,5.730796
4.723644,1.0754695,5.388842
6.983255,0.6935188,5.784234
10.1678705,-0.5586188,7.2005825
5.3774667,1.7938483,4.423541
8.72603,0.32947603,5.4490976
12.056965,2.689631,8.048426
5.6257105,0.7025198,5.9861126
8.669418,0.4400833,5.544821
6.116912,1.3322188,8.080122
5.2342367,1.9285687,4.4217167
5.1697392,0.7140986,4.1787505
7.6915054,0.9267131,5.7482796
6.945949,-0.79282254,6.717202
3.4478862,1.5125929,3.853091
8.290578,-0.47845745,6.420744
7.28997,-0.60053223,5.1534014
7.0265126,-0.6038545,6.933878
6.02486,2.2527473,5.339105
7.762689,0.10541104,8.306941
8.438492,-0.031853765,7.5549083
7.401844,0.70664537,7.3313394
8.096218,-0.10566372,8.291307
6.8350964,0.26823026,3.8578408
6.180878,1.9808309,5.692172
6.209801,1.6078523,1.9074774
9.855031,-0.35524455,7.5079374
4.1974726,2.1288383,3.8131235
9.349593,-2.0944238,8.250541
8.222492,0.6356693,4.894584
8.568362,-2.4711206,8.348846
8.3280945,-0.49879056,5.9296064
6.339743,0.33324385,7.524281
4.1710753,1.881073,4.254716
5.519488,0.38544798,3.6314027
7.9404163,-1.2418026,7.3909664
5.330083,1.6512594,3.6401558
6.8714323,-0.18627271,4.564524
6.9294424,-0.37948945,4.8815575
7.604806,0.5387315,6.5066733
6.1233644,-1.0216124,6.3754363
8.742675,-2.1277077,8.142989
6.0854845,0.8192944,4.561935
7.4551997,0.025989395,6.445411
8.382937,-0.3864152,6.4468822
7.906303,0.8659605,5.132425
6.9425983,-0.33118314,4.845855
7.043425,-0.4106167,4.7719774
12.198447,2.741778,7.9404736
7.1071815,-0.41716042,4.4605494
7.5604143,0.25222045,8.315691
6.960838,0.9995883,4.84782
6.0810156,-0.9162683,6.462561
7.73455,1.051226,7.2996306
12.162275,2.726074,7.9364376
9.022266,0.09744262,5.9317284
4.4110894,3.2497253,5.1279945
